entry moduleId genCharge genPdgId genVx genVy genVz genCotTheta genD0 genDz genInvPt genPt genPhi genEta stubPhi stubEta stubR stubX stubY stubZ stubLocalPhi stubLocalZ 
131 50333 -1 13 -0.000707083 -0.00021383 -2.71056 0.422915 -0.000603087 -2.71038 -0.00619999 161.291 1.24883 0.411227 1.2495 0.303193 23.2697 7.3486 22.0789 7.1638 313.5 24
131 60530 -1 13 -0.000707083 -0.00021383 -2.71056 0.422915 -0.000603087 -2.71038 -0.00619999 161.291 1.24883 0.411227 1.2501 0.344169 36.8637 11.6205 34.9842 12.9393 696.5 18
131 70731 -1 13 -0.000707083 -0.00021383 -2.71056 0.422915 -0.000603087 -2.71038 -0.00619999 161.291 1.24883 0.411227 1.25063 0.36155 51.9105 16.3377 49.2725 19.1798 702.5 16
131 81014 -1 13 -0.000707083 -0.00021383 -2.71056 0.422915 -0.000603087 -2.71038 -0.00619999 161.291 1.24883 0.411227 1.25116 0.400028 67.7254 21.2809 64.2951 27.8204 942.5 0
131 91215 -1 13 -0.000707083 -0.00021383 -2.71056 0.422915 -0.000603087 -2.71038 -0.00619999 161.291 1.24883 0.411227 1.25185 0.36324 87.2536 27.3599 82.8531 32.3956 161 1
131 101516 -1 13 -0.000707083 -0.00021383 -2.71056 0.422915 -0.000603087 -2.71038 -0.00619999 161.291 1.24883 0.411227 1.25265 0.380586 109.021 34.1023 103.55 42.5007 355.5 1

134 50334 -1 13 6.65001e-05 -0.000623389 7.68993 0.251456 0.000367341 7.69006 -0.107248 9.32419 1.05103 0.248879 1.06562 0.546666 23.9662 11.5988 20.9726 13.7639 748.5 10
134 60431 -1 13 6.65001e-05 -0.000623389 7.68993 0.251456 0.000367341 7.69006 -0.107248 9.32419 1.05103 0.248879 1.07208 0.460012 34.1652 16.3412 30.0037 16.2766 394.5 23
134 70631 -1 13 6.65001e-05 -0.000623389 7.68993 0.251456 0.000367341 7.69006 -0.107248 9.32419 1.05103 0.248879 1.08181 0.394793 49.8404 23.4117 43.9995 20.1918 614 9
134 80814 -1 13 6.65001e-05 -0.000623389 7.68993 0.251456 0.000367341 7.69006 -0.107248 9.32419 1.05103 0.248879 1.09276 0.330737 67.6824 31.1366 60.0951 22.7954 165 1
134 91114 -1 13 6.65001e-05 -0.000623389 7.68993 0.251456 0.000367341 7.69006 -0.107248 9.32419 1.05103 0.248879 1.10639 0.305032 89.8056 40.2232 80.2941 27.8204 591 0
134 91115 -1 13 6.65001e-05 -0.000623389 7.68993 0.251456 0.000367341 7.69006 -0.107248 9.32419 1.05103 0.248879 1.10603 0.35563 89.2015 39.9813 79.7396 32.3956 594 1
134 101415 -1 13 6.65001e-05 -0.000623389 7.68993 0.251456 0.000367341 7.69006 -0.107248 9.32419 1.05103 0.248879 1.11673 0.299689 106.496 46.712 95.7047 32.3956 989 1

137 50334 -1 13 0.000934531 -0.000237874 1.81909 0.382635 0.00093319 1.819 -0.0116961 85.4989 1.06673 0.373864 1.06811 0.444992 23.9596 11.5433 20.9955 11.0172 742.5 29
137 60430 -1 13 0.000934531 -0.000237874 1.81909 0.382635 0.00093319 1.819 -0.0116961 85.4989 1.06673 0.373864 1.06892 0.421911 34.7672 16.7257 30.4797 15.1077 404 3
137 70631 -1 13 0.000934531 -0.000237874 1.81909 0.382635 0.00093319 1.819 -0.0116961 85.4989 1.06673 0.373864 1.06998 0.40805 49.8598 23.9398 43.7365 20.9146 673 4
137 80814 -1 13 0.000934531 -0.000237874 1.81909 0.382635 0.00093319 1.819 -0.0116961 85.4989 1.06673 0.373864 1.07122 0.400554 67.6317 32.3992 59.3661 27.8204 327 0
137 91115 -1 13 0.000934531 -0.000237874 1.81909 0.382635 0.00093319 1.819 -0.0116961 85.4989 1.06673 0.373864 1.07266 0.407757 89.2772 42.6558 78.4277 37.4206 925 0
137 101316 -1 13 0.000934531 -0.000237874 1.81909 0.382635 0.00093319 1.819 -0.0116961 85.4989 1.06673 0.373864 1.07401 0.380614 109.012 51.9553 95.8348 42.5007 516.5 1

172 50334 -1 13 -0.00141001 0.000579765 7.41897 0.238188 -0.00152026 7.419 -0.247132 4.04643 1.10563 0.235991 1.13949 0.523022 23.8326 9.9635 21.6499 13.0411 571.5 15
172 60431 -1 13 -0.00141001 0.000579765 7.41897 0.238188 -0.00152026 7.419 -0.247132 4.04643 1.10563 0.235991 1.15438 0.438583 34.3517 13.8947 31.4163 15.5538 112 28
172 70631 -1 13 -0.00141001 0.000579765 7.41897 0.238188 -0.00152026 7.419 -0.247132 4.04643 1.10563 0.235991 1.17663 0.377915 49.9371 19.1775 46.1078 19.3244 141 15
172 80914 -1 13 -0.00141001 0.000579765 7.41897 0.238188 -0.00152026 7.419 -0.247132 4.04643 1.10563 0.235991 1.20485 0.321764 69.6373 24.9183 65.0264 22.7954 300.5 1
172 91214 -1 13 -0.00141001 0.000579765 7.41897 0.238188 -0.00152026 7.419 -0.247132 4.04643 1.10563 0.235991 1.23081 0.311744 87.8118 29.2831 82.7853 27.8204 364 0
172 101515 -1 13 -0.00141001 0.000579765 7.41897 0.238188 -0.00152026 7.419 -0.247132 4.04643 1.10563 0.235991 1.26048 0.294494 108.43 33.1102 103.251 32.3956 262 1

